percentile,latency_ns
0.0000,4624
1.0000,5419
2.0000,6003
3.0000,6459
4.0000,6627
5.0000,6667
6.0000,6667
7.0000,6711
8.0000,6711
9.0000,6751
10.0000,6751
11.0000,6751
12.0000,6791
13.0000,6795
14.0000,6795
15.0000,6835
16.0000,6835
17.0000,6875
18.0000,6875
19.0000,6919
20.0000,6959
21.0000,7003
22.0000,7043
23.0000,7083
24.0000,7083
25.0000,7083
26.0000,7083
27.0000,7087
28.0000,7127
29.0000,7127
30.0000,7127
31.0000,7127
32.0000,7127
33.0000,7127
34.0000,7127
35.0000,7167
36.0000,7167
37.0000,7167
38.0000,7167
39.0000,7167
40.0000,7167
41.0000,7167
42.0000,7211
43.0000,7211
44.0000,7211
45.0000,7211
46.0000,7211
47.0000,7211
48.0000,7211
49.0000,7211
50.0000,7251
51.0000,7251
52.0000,7251
53.0000,7251
54.0000,7251
55.0000,7251
56.0000,7251
57.0000,7251
58.0000,7291
59.0000,7291
60.0000,7295
61.0000,7295
62.0000,7295
63.0000,7295
64.0000,7295
65.0000,7335
66.0000,7335
67.0000,7335
68.0000,7335
69.0000,7375
70.0000,7375
71.0000,7375
72.0000,7419
73.0000,7419
74.0000,7459
75.0000,7543
76.0000,7583
77.0000,7587
78.0000,7627
79.0000,7627
80.0000,7667
81.0000,7667
82.0000,7711
83.0000,7711
84.0000,7711
85.0000,7751
86.0000,7751
87.0000,7751
88.0000,7751
89.0000,7795
90.0000,7795
90.0000,7795
90.1000,7795
90.2000,7795
90.3000,7795
90.4000,7795
90.5000,7795
90.6000,7795
90.7000,7835
90.8000,7835
90.9000,7835
91.0000,7835
91.1000,7835
91.2000,7835
91.3000,7835
91.4000,7835
91.5000,7835
91.6000,7835
91.7000,7835
91.8000,7835
91.9000,7835
92.0000,7835
92.1000,7835
92.2000,7835
92.3000,7835
92.4000,7835
92.5000,7835
92.6000,7835
92.7000,7835
92.8000,7875
92.9000,7875
93.0000,7875
93.1000,7875
93.2000,7875
93.3000,7875
93.4000,7875
93.5000,7875
93.6000,7875
93.7000,7875
93.8000,7919
93.9000,7919
94.0000,7919
94.1000,7919
94.2000,7919
94.3000,7919
94.4000,7919
94.5000,7959
94.6000,7959
94.7000,7959
94.8000,7959
94.9000,8003
95.0000,8003
95.1000,8003
95.2000,8043
95.3000,8043
95.4000,8083
95.5000,8083
95.6000,8087
95.7000,8127
95.8000,8127
95.9000,8167
96.0000,8167
96.1000,8215
96.2000,8255
96.3000,8295
96.4000,8375
96.5000,8423
96.6000,8503
96.7000,8591
96.8000,8671
96.9000,8791
97.0000,8879
97.1000,8959
97.2000,9047
97.3000,9087
97.4000,9215
97.5000,9255
97.6000,9335
97.7000,9375
97.8000,9423
97.9000,9503
98.0000,9543
98.1000,9591
98.2000,9671
98.3000,9711
98.4000,9799
98.5000,9839
98.6000,9879
98.7000,9919
98.8000,9959
98.9000,10007
99.0000,10047
99.0000,10047
99.0100,10047
99.0200,10047
99.0300,10087
99.0400,10087
99.0500,10087
99.0600,10087
99.0700,10087
99.0800,10087
99.0900,10087
99.1000,10087
99.1100,10087
99.1200,10127
99.1300,10127
99.1400,10127
99.1500,10127
99.1600,10127
99.1700,10127
99.1800,10127
99.1900,10127
99.2000,10127
99.2100,10127
99.2200,10167
99.2300,10167
99.2400,10167
99.2500,10167
99.2600,10167
99.2700,10167
99.2800,10167
99.2900,10167
99.3000,10167
99.3100,10215
99.3200,10215
99.3300,10215
99.3400,10215
99.3500,10215
99.3600,10215
99.3700,10215
99.3800,10215
99.3900,10215
99.4000,10255
99.4100,10255
99.4200,10255
99.4300,10255
99.4400,10255
99.4500,10255
99.4600,10295
99.4700,10295
99.4800,10295
99.4900,10295
99.5000,10295
99.5100,10335
99.5200,10335
99.5300,10375
99.5400,10375
99.5500,10375
99.5600,10423
99.5700,10423
99.5800,10463
99.5900,10503
99.6000,10503
99.6100,10543
99.6200,10631
99.6300,10671
99.6400,10751
99.6500,10959
99.6600,11087
99.6700,11255
99.6800,11335
99.6900,11503
99.7000,11631
99.7100,11751
99.7200,11839
99.7300,12007
99.7400,12167
99.7500,12423
99.7600,12583
99.7700,12879
99.7800,13423
99.7900,13583
99.8000,14007
99.8100,14215
99.8200,14375
99.8300,14583
99.8400,14751
99.8500,15087
99.8600,15215
99.8700,15295
99.8800,15335
99.8900,15423
99.9000,15751
99.9000,15751
99.9010,15751
99.9020,15751
99.9030,15839
99.9040,15839
99.9050,15879
99.9060,15879
99.9070,15879
99.9080,15879
99.9090,15879
99.9100,15879
99.9110,15959
99.9120,15959
99.9130,16007
99.9140,16007
99.9150,16087
99.9160,16087
99.9170,16127
99.9180,16127
99.9190,16127
99.9200,16127
99.9210,16167
99.9220,16167
99.9230,16295
99.9240,16295
99.9250,16375
99.9260,16375
99.9270,16463
99.9280,16463
99.9290,16543
99.9300,16543
99.9310,16543
99.9320,16543
99.9330,17007
99.9340,17007
99.9350,17055
99.9360,17055
99.9370,17055
99.9380,17055
99.9390,17423
99.9400,17423
99.9410,18383
99.9420,18383
99.9430,19007
99.9440,19007
99.9450,19135
99.9460,19135
99.9470,19135
99.9480,19135
99.9490,19167
99.9500,19167
99.9510,19343
99.9520,19343
99.9530,19423
99.9540,19423
99.9550,19551
99.9560,19551
99.9570,19631
99.9580,19631
99.9590,19711
99.9600,19711
99.9610,19807
99.9620,19807
99.9630,19967
99.9640,19967
99.9650,20015
99.9660,20015
99.9670,20127
99.9680,20127
99.9690,20255
99.9700,20255
99.9710,21471
99.9720,21471
99.9730,21711
99.9740,22127
99.9750,22127
99.9760,22127
99.9770,22303
99.9780,22303
99.9790,23055
99.9800,23055
99.9810,24543
99.9820,24543
99.9830,25167
99.9840,25167
99.9850,26015
99.9860,28463
99.9870,28463
99.9880,28463
99.9890,29887
99.9900,29887
99.9990,261119
100.0000,261119
