percentile,latency_ns
0.0000,0
1.0000,0
2.0000,0
3.0000,0
4.0000,0
5.0000,0
6.0000,0
7.0000,0
8.0000,0
9.0000,0
10.0000,0
11.0000,0
12.0000,0
13.0000,0
14.0000,0
15.0000,0
16.0000,0
17.0000,0
18.0000,0
19.0000,0
20.0000,0
21.0000,0
22.0000,0
23.0000,0
24.0000,41
25.0000,41
26.0000,41
27.0000,41
28.0000,41
29.0000,41
30.0000,41
31.0000,41
32.0000,41
33.0000,41
34.0000,41
35.0000,41
36.0000,41
37.0000,41
38.0000,41
39.0000,41
40.0000,41
41.0000,41
42.0000,41
43.0000,41
44.0000,41
45.0000,41
46.0000,42
47.0000,42
48.0000,42
49.0000,42
50.0000,42
51.0000,42
52.0000,42
53.0000,42
54.0000,42
55.0000,42
56.0000,42
57.0000,42
58.0000,42
59.0000,42
60.0000,42
61.0000,42
62.0000,42
63.0000,42
64.0000,42
65.0000,42
66.0000,42
67.0000,42
68.0000,42
69.0000,42
70.0000,42
71.0000,42
72.0000,42
73.0000,42
74.0000,42
75.0000,42
76.0000,42
77.0000,42
78.0000,42
79.0000,42
80.0000,42
81.0000,42
82.0000,42
83.0000,42
84.0000,42
85.0000,42
86.0000,42
87.0000,42
88.0000,42
89.0000,42
90.0000,42
90.0000,42
90.1000,42
90.2000,42
90.3000,42
90.4000,42
90.5000,83
90.6000,83
90.7000,83
90.8000,83
90.9000,83
91.0000,83
91.1000,83
91.2000,83
91.3000,83
91.4000,83
91.5000,83
91.6000,83
91.7000,83
91.8000,83
91.9000,83
92.0000,83
92.1000,83
92.2000,83
92.3000,83
92.4000,83
92.5000,83
92.6000,83
92.7000,84
92.8000,84
92.9000,84
93.0000,84
93.1000,84
93.2000,84
93.3000,84
93.4000,84
93.5000,84
93.6000,84
93.7000,84
93.8000,125
93.9000,125
94.0000,125
94.1000,125
94.2000,125
94.3000,125
94.4000,125
94.5000,125
94.6000,125
94.7000,125
94.8000,125
94.9000,125
95.0000,125
95.1000,125
95.2000,125
95.3000,125
95.4000,125
95.5000,125
95.6000,125
95.7000,125
95.8000,125
95.9000,125
96.0000,125
96.1000,125
96.2000,125
96.3000,125
96.4000,125
96.5000,125
96.6000,125
96.7000,125
96.8000,125
96.9000,125
97.0000,125
97.1000,125
97.2000,125
97.3000,125
97.4000,125
97.5000,125
97.6000,125
97.7000,125
97.8000,166
97.9000,166
98.0000,166
98.1000,166
98.2000,167
98.3000,167
98.4000,167
98.5000,167
98.6000,167
98.7000,167
98.8000,167
98.9000,167
99.0000,208
99.0000,208
99.0100,208
99.0200,208
99.0300,208
99.0400,208
99.0500,208
99.0600,208
99.0700,208
99.0800,208
99.0900,208
99.1000,208
99.1100,208
99.1200,208
99.1300,208
99.1400,208
99.1500,208
99.1600,208
99.1700,208
99.1800,208
99.1900,208
99.2000,208
99.2100,208
99.2200,208
99.2300,208
99.2400,208
99.2500,208
99.2600,208
99.2700,208
99.2800,208
99.2900,208
99.3000,208
99.3100,208
99.3200,208
99.3300,208
99.3400,208
99.3500,208
99.3600,208
99.3700,208
99.3800,208
99.3900,209
99.4000,209
99.4100,209
99.4200,209
99.4300,209
99.4400,209
99.4500,209
99.4600,209
99.4700,209
99.4800,209
99.4900,209
99.5000,209
99.5100,209
99.5200,209
99.5300,209
99.5400,209
99.5500,209
99.5600,209
99.5700,209
99.5800,209
99.5900,209
99.6000,209
99.6100,209
99.6200,209
99.6300,250
99.6400,250
99.6500,250
99.6600,250
99.6700,250
99.6800,250
99.6900,250
99.7000,250
99.7100,250
99.7200,250
99.7300,250
99.7400,250
99.7500,250
99.7600,250
99.7700,250
99.7800,250
99.7900,250
99.8000,250
99.8100,250
99.8200,250
99.8300,291
99.8400,291
99.8500,292
99.8600,292
99.8700,292
99.8800,292
99.8900,292
99.9000,292
99.9000,292
99.9010,292
99.9020,333
99.9030,333
99.9040,333
99.9050,333
99.9060,333
99.9070,333
99.9080,333
99.9090,333
99.9100,333
99.9110,333
99.9120,333
99.9130,333
99.9140,333
99.9150,333
99.9160,333
99.9170,333
99.9180,333
99.9190,333
99.9200,333
99.9210,333
99.9220,333
99.9230,334
99.9240,334
99.9250,334
99.9260,334
99.9270,334
99.9280,334
99.9290,334
99.9300,375
99.9310,375
99.9320,375
99.9330,375
99.9340,375
99.9350,375
99.9360,375
99.9370,375
99.9380,375
99.9390,375
99.9400,416
99.9410,416
99.9420,416
99.9430,416
99.9440,417
99.9450,417
99.9460,417
99.9470,458
99.9480,458
99.9490,459
99.9500,459
99.9510,500
99.9520,500
99.9530,500
99.9540,500
99.9550,541
99.9560,541
99.9570,542
99.9580,542
99.9590,583
99.9600,584
99.9610,625
99.9620,625
99.9630,667
99.9640,791
99.9650,875
99.9660,917
99.9670,959
99.9680,1000
99.9690,1125
99.9700,1125
99.9710,1167
99.9720,1250
99.9730,1375
99.9740,1750
99.9750,2083
99.9760,2125
99.9770,2833
99.9780,3417
99.9790,4375
99.9800,4503
99.9810,4587
99.9820,4711
99.9830,4791
99.9840,4919
99.9850,4959
99.9860,5503
99.9870,5919
99.9880,6875
99.9890,8215
99.9900,9463
99.9990,31807
100.0000,109503
