percentile,latency_ns
0.0000,83
1.0000,125
2.0000,125
3.0000,125
4.0000,125
5.0000,166
6.0000,166
7.0000,166
8.0000,166
9.0000,166
10.0000,166
11.0000,166
12.0000,166
13.0000,166
14.0000,166
15.0000,166
16.0000,166
17.0000,166
18.0000,166
19.0000,166
20.0000,166
21.0000,166
22.0000,166
23.0000,166
24.0000,166
25.0000,166
26.0000,166
27.0000,167
28.0000,167
29.0000,167
30.0000,167
31.0000,167
32.0000,167
33.0000,167
34.0000,167
35.0000,167
36.0000,167
37.0000,167
38.0000,167
39.0000,167
40.0000,167
41.0000,167
42.0000,167
43.0000,167
44.0000,167
45.0000,167
46.0000,167
47.0000,167
48.0000,167
49.0000,167
50.0000,167
51.0000,167
52.0000,167
53.0000,167
54.0000,167
55.0000,167
56.0000,167
57.0000,167
58.0000,167
59.0000,167
60.0000,167
61.0000,167
62.0000,167
63.0000,167
64.0000,167
65.0000,167
66.0000,167
67.0000,167
68.0000,167
69.0000,167
70.0000,167
71.0000,167
72.0000,167
73.0000,208
74.0000,208
75.0000,208
76.0000,208
77.0000,208
78.0000,208
79.0000,208
80.0000,209
81.0000,209
82.0000,209
83.0000,209
84.0000,250
85.0000,250
86.0000,250
87.0000,250
88.0000,250
89.0000,250
90.0000,417
90.0000,417
90.1000,458
90.2000,458
90.3000,458
90.4000,458
90.5000,458
90.6000,458
90.7000,458
90.8000,458
90.9000,458
91.0000,458
91.1000,458
91.2000,458
91.3000,458
91.4000,458
91.5000,458
91.6000,458
91.7000,458
91.8000,458
91.9000,459
92.0000,459
92.1000,459
92.2000,459
92.3000,459
92.4000,459
92.5000,459
92.6000,459
92.7000,459
92.8000,459
92.9000,500
93.0000,500
93.1000,500
93.2000,500
93.3000,500
93.4000,500
93.5000,500
93.6000,500
93.7000,500
93.8000,500
93.9000,500
94.0000,500
94.1000,500
94.2000,500
94.3000,500
94.4000,500
94.5000,500
94.6000,500
94.7000,500
94.8000,500
94.9000,500
95.0000,500
95.1000,500
95.2000,500
95.3000,500
95.4000,500
95.5000,500
95.6000,500
95.7000,500
95.8000,500
95.9000,500
96.0000,500
96.1000,500
96.2000,500
96.3000,500
96.4000,500
96.5000,500
96.6000,500
96.7000,500
96.8000,500
96.9000,500
97.0000,541
97.1000,542
97.2000,542
97.3000,583
97.4000,583
97.5000,583
97.6000,584
97.7000,584
97.8000,625
97.9000,625
98.0000,625
98.1000,625
98.2000,625
98.3000,666
98.4000,667
98.5000,667
98.6000,708
98.7000,708
98.8000,708
98.9000,708
99.0000,708
99.0000,708
99.0100,709
99.0200,709
99.0300,709
99.0400,709
99.0500,709
99.0600,709
99.0700,709
99.0800,709
99.0900,709
99.1000,709
99.1100,709
99.1200,709
99.1300,709
99.1400,709
99.1500,709
99.1600,709
99.1700,709
99.1800,709
99.1900,709
99.2000,709
99.2100,709
99.2200,709
99.2300,750
99.2400,750
99.2500,750
99.2600,750
99.2700,750
99.2800,750
99.2900,750
99.3000,750
99.3100,750
99.3200,750
99.3300,750
99.3400,750
99.3500,750
99.3600,750
99.3700,750
99.3800,750
99.3900,750
99.4000,750
99.4100,750
99.4200,750
99.4300,750
99.4400,750
99.4500,750
99.4600,750
99.4700,750
99.4800,750
99.4900,750
99.5000,750
99.5100,750
99.5200,750
99.5300,750
99.5400,750
99.5500,750
99.5600,750
99.5700,750
99.5800,750
99.5900,791
99.6000,791
99.6100,792
99.6200,792
99.6300,792
99.6400,792
99.6500,833
99.6600,833
99.6700,833
99.6800,833
99.6900,833
99.7000,834
99.7100,834
99.7200,834
99.7300,875
99.7400,875
99.7500,875
99.7600,875
99.7700,875
99.7800,875
99.7900,875
99.8000,917
99.8100,958
99.8200,959
99.8300,1000
99.8400,1041
99.8500,1042
99.8600,1042
99.8700,1083
99.8800,1083
99.8900,1083
99.9000,1083
99.9000,1083
99.9010,1083
99.9020,1083
99.9030,1083
99.9040,1083
99.9050,1083
99.9060,1083
99.9070,1083
99.9080,1083
99.9090,1083
99.9100,1083
99.9110,1083
99.9120,1083
99.9130,1083
99.9140,1083
99.9150,1083
99.9160,1083
99.9170,1083
99.9180,1083
99.9190,1083
99.9200,1083
99.9210,1084
99.9220,1084
99.9230,1084
99.9240,1084
99.9250,1084
99.9260,1084
99.9270,1084
99.9280,1084
99.9290,1084
99.9300,1084
99.9310,1084
99.9320,1084
99.9330,1084
99.9340,1084
99.9350,1084
99.9360,1084
99.9370,1084
99.9380,1084
99.9390,1084
99.9400,1084
99.9410,1084
99.9420,1084
99.9430,1084
99.9440,1084
99.9450,1084
99.9460,1084
99.9470,1084
99.9480,1084
99.9490,1084
99.9500,1125
99.9510,1125
99.9520,1125
99.9530,1125
99.9540,1125
99.9550,1125
99.9560,1125
99.9570,1125
99.9580,1125
99.9590,1125
99.9600,1125
99.9610,1125
99.9620,1125
99.9630,1125
99.9640,1125
99.9650,1125
99.9660,1125
99.9670,1125
99.9680,1125
99.9690,1125
99.9700,1125
99.9710,1125
99.9720,1125
99.9730,1125
99.9740,1125
99.9750,1125
99.9760,1125
99.9770,1125
99.9780,1166
99.9790,1166
99.9800,1167
99.9810,1167
99.9820,1208
99.9830,1208
99.9840,1209
99.9850,1209
99.9860,1250
99.9870,1250
99.9880,1292
99.9890,1500
99.9900,1542
99.9990,10879
100.0000,17679
