percentile,latency_ns
0.0000,250
1.0000,333
2.0000,333
3.0000,334
4.0000,334
5.0000,375
6.0000,375
7.0000,375
8.0000,375
9.0000,375
10.0000,375
11.0000,375
12.0000,375
13.0000,375
14.0000,375
15.0000,375
16.0000,375
17.0000,375
18.0000,416
19.0000,416
20.0000,416
21.0000,416
22.0000,416
23.0000,416
24.0000,416
25.0000,416
26.0000,417
27.0000,417
28.0000,417
29.0000,417
30.0000,417
31.0000,417
32.0000,417
33.0000,417
34.0000,417
35.0000,417
36.0000,417
37.0000,417
38.0000,417
39.0000,417
40.0000,417
41.0000,417
42.0000,458
43.0000,458
44.0000,458
45.0000,458
46.0000,458
47.0000,459
48.0000,459
49.0000,500
50.0000,500
51.0000,500
52.0000,500
53.0000,500
54.0000,500
55.0000,541
56.0000,541
57.0000,541
58.0000,541
59.0000,542
60.0000,542
61.0000,542
62.0000,542
63.0000,542
64.0000,542
65.0000,542
66.0000,542
67.0000,583
68.0000,583
69.0000,583
70.0000,583
71.0000,583
72.0000,583
73.0000,583
74.0000,583
75.0000,584
76.0000,584
77.0000,584
78.0000,584
79.0000,584
80.0000,625
81.0000,625
82.0000,625
83.0000,625
84.0000,625
85.0000,625
86.0000,625
87.0000,625
88.0000,625
89.0000,666
90.0000,666
90.0000,666
90.1000,667
90.2000,667
90.3000,667
90.4000,667
90.5000,667
90.6000,667
90.7000,667
90.8000,667
90.9000,667
91.0000,667
91.1000,667
91.2000,667
91.3000,667
91.4000,667
91.5000,667
91.6000,667
91.7000,667
91.8000,667
91.9000,667
92.0000,667
92.1000,667
92.2000,667
92.3000,667
92.4000,667
92.5000,667
92.6000,667
92.7000,667
92.8000,667
92.9000,667
93.0000,667
93.1000,667
93.2000,667
93.3000,667
93.4000,667
93.5000,667
93.6000,667
93.7000,667
93.8000,708
93.9000,708
94.0000,708
94.1000,708
94.2000,708
94.3000,708
94.4000,708
94.5000,708
94.6000,708
94.7000,708
94.8000,708
94.9000,708
95.0000,708
95.1000,708
95.2000,708
95.3000,708
95.4000,708
95.5000,708
95.6000,708
95.7000,708
95.8000,708
95.9000,709
96.0000,709
96.1000,709
96.2000,709
96.3000,709
96.4000,709
96.5000,709
96.6000,709
96.7000,709
96.8000,709
96.9000,709
97.0000,750
97.1000,750
97.2000,750
97.3000,750
97.4000,750
97.5000,750
97.6000,750
97.7000,750
97.8000,750
97.9000,750
98.0000,750
98.1000,750
98.2000,750
98.3000,750
98.4000,750
98.5000,750
98.6000,791
98.7000,791
98.8000,791
98.9000,792
99.0000,792
99.0000,792
99.0100,792
99.0200,792
99.0300,792
99.0400,792
99.0500,792
99.0600,792
99.0700,792
99.0800,792
99.0900,792
99.1000,792
99.1100,792
99.1200,792
99.1300,792
99.1400,792
99.1500,792
99.1600,792
99.1700,792
99.1800,792
99.1900,792
99.2000,792
99.2100,792
99.2200,792
99.2300,792
99.2400,792
99.2500,792
99.2600,792
99.2700,792
99.2800,792
99.2900,792
99.3000,792
99.3100,792
99.3200,792
99.3300,792
99.3400,792
99.3500,792
99.3600,792
99.3700,792
99.3800,833
99.3900,833
99.4000,833
99.4100,833
99.4200,833
99.4300,833
99.4400,833
99.4500,833
99.4600,833
99.4700,833
99.4800,833
99.4900,833
99.5000,833
99.5100,833
99.5200,833
99.5300,834
99.5400,834
99.5500,834
99.5600,834
99.5700,834
99.5800,834
99.5900,834
99.6000,834
99.6100,875
99.6200,875
99.6300,875
99.6400,875
99.6500,875
99.6600,875
99.6700,875
99.6800,875
99.6900,875
99.7000,875
99.7100,875
99.7200,875
99.7300,875
99.7400,875
99.7500,916
99.7600,916
99.7700,916
99.7800,916
99.7900,917
99.8000,917
99.8100,917
99.8200,917
99.8300,917
99.8400,917
99.8500,917
99.8600,958
99.8700,958
99.8800,958
99.8900,958
99.9000,959
99.9000,959
99.9010,959
99.9020,959
99.9030,959
99.9040,959
99.9050,959
99.9060,959
99.9070,959
99.9080,959
99.9090,959
99.9100,959
99.9110,959
99.9120,959
99.9130,1000
99.9140,1000
99.9150,1000
99.9160,1000
99.9170,1000
99.9180,1000
99.9190,1000
99.9200,1000
99.9210,1000
99.9220,1000
99.9230,1000
99.9240,1000
99.9250,1000
99.9260,1000
99.9270,1000
99.9280,1000
99.9290,1000
99.9300,1000
99.9310,1000
99.9320,1000
99.9330,1000
99.9340,1000
99.9350,1000
99.9360,1000
99.9370,1000
99.9380,1000
99.9390,1000
99.9400,1000
99.9410,1000
99.9420,1000
99.9430,1000
99.9440,1000
99.9450,1000
99.9460,1000
99.9470,1000
99.9480,1000
99.9490,1000
99.9500,1000
99.9510,1000
99.9520,1041
99.9530,1041
99.9540,1041
99.9550,1041
99.9560,1041
99.9570,1041
99.9580,1042
99.9590,1042
99.9600,1042
99.9610,1042
99.9620,1042
99.9630,1042
99.9640,1042
99.9650,1042
99.9660,1042
99.9670,1042
99.9680,1042
99.9690,1042
99.9700,1083
99.9710,1083
99.9720,1084
99.9730,1084
99.9740,1084
99.9750,1084
99.9760,1084
99.9770,1125
99.9780,1125
99.9790,1125
99.9800,1167
99.9810,1250
99.9820,1542
99.9830,1792
99.9840,2375
99.9850,4043
99.9860,4503
99.9870,4751
99.9880,4875
99.9890,4959
99.9900,5127
99.9990,11751
100.0000,12631
