percentile,latency_ns
0.0000,83
1.0000,125
2.0000,166
3.0000,166
4.0000,166
5.0000,166
6.0000,166
7.0000,166
8.0000,166
9.0000,166
10.0000,166
11.0000,166
12.0000,166
13.0000,166
14.0000,166
15.0000,166
16.0000,166
17.0000,166
18.0000,166
19.0000,166
20.0000,166
21.0000,166
22.0000,167
23.0000,167
24.0000,167
25.0000,167
26.0000,167
27.0000,167
28.0000,167
29.0000,167
30.0000,167
31.0000,167
32.0000,167
33.0000,167
34.0000,167
35.0000,167
36.0000,167
37.0000,167
38.0000,167
39.0000,167
40.0000,167
41.0000,167
42.0000,167
43.0000,167
44.0000,167
45.0000,167
46.0000,167
47.0000,167
48.0000,167
49.0000,167
50.0000,167
51.0000,167
52.0000,167
53.0000,167
54.0000,167
55.0000,167
56.0000,167
57.0000,167
58.0000,167
59.0000,167
60.0000,167
61.0000,208
62.0000,208
63.0000,208
64.0000,208
65.0000,208
66.0000,208
67.0000,208
68.0000,208
69.0000,208
70.0000,208
71.0000,208
72.0000,208
73.0000,208
74.0000,208
75.0000,209
76.0000,209
77.0000,209
78.0000,209
79.0000,209
80.0000,209
81.0000,250
82.0000,250
83.0000,250
84.0000,250
85.0000,250
86.0000,250
87.0000,250
88.0000,250
89.0000,291
90.0000,458
90.0000,458
90.1000,458
90.2000,458
90.3000,458
90.4000,458
90.5000,458
90.6000,458
90.7000,458
90.8000,458
90.9000,459
91.0000,459
91.1000,459
91.2000,459
91.3000,500
91.4000,500
91.5000,500
91.6000,500
91.7000,500
91.8000,500
91.9000,500
92.0000,500
92.1000,500
92.2000,500
92.3000,500
92.4000,500
92.5000,500
92.6000,500
92.7000,500
92.8000,500
92.9000,500
93.0000,500
93.1000,500
93.2000,500
93.3000,500
93.4000,500
93.5000,500
93.6000,500
93.7000,500
93.8000,500
93.9000,500
94.0000,500
94.1000,500
94.2000,500
94.3000,500
94.4000,500
94.5000,500
94.6000,500
94.7000,500
94.8000,541
94.9000,541
95.0000,541
95.1000,541
95.2000,541
95.3000,541
95.4000,541
95.5000,541
95.6000,542
95.7000,542
95.8000,542
95.9000,542
96.0000,542
96.1000,542
96.2000,542
96.3000,542
96.4000,542
96.5000,542
96.6000,542
96.7000,542
96.8000,542
96.9000,542
97.0000,583
97.1000,583
97.2000,583
97.3000,584
97.4000,584
97.5000,625
97.6000,625
97.7000,625
97.8000,625
97.9000,666
98.0000,666
98.1000,667
98.2000,667
98.3000,667
98.4000,708
98.5000,708
98.6000,708
98.7000,709
98.8000,709
98.9000,750
99.0000,750
99.0000,750
99.0100,750
99.0200,750
99.0300,750
99.0400,750
99.0500,750
99.0600,750
99.0700,750
99.0800,750
99.0900,750
99.1000,750
99.1100,750
99.1200,750
99.1300,750
99.1400,750
99.1500,750
99.1600,750
99.1700,750
99.1800,750
99.1900,750
99.2000,750
99.2100,750
99.2200,750
99.2300,791
99.2400,791
99.2500,791
99.2600,791
99.2700,791
99.2800,791
99.2900,791
99.3000,791
99.3100,791
99.3200,791
99.3300,792
99.3400,792
99.3500,792
99.3600,792
99.3700,792
99.3800,792
99.3900,792
99.4000,792
99.4100,792
99.4200,792
99.4300,792
99.4400,792
99.4500,792
99.4600,792
99.4700,792
99.4800,792
99.4900,792
99.5000,792
99.5100,833
99.5200,833
99.5300,833
99.5400,833
99.5500,833
99.5600,833
99.5700,833
99.5800,833
99.5900,833
99.6000,833
99.6100,833
99.6200,834
99.6300,834
99.6400,834
99.6500,834
99.6600,834
99.6700,875
99.6800,875
99.6900,875
99.7000,875
99.7100,875
99.7200,875
99.7300,916
99.7400,916
99.7500,917
99.7600,917
99.7700,958
99.7800,958
99.7900,958
99.8000,959
99.8100,959
99.8200,1000
99.8300,1000
99.8400,1041
99.8500,1083
99.8600,1083
99.8700,1083
99.8800,1084
99.8900,1084
99.9000,1125
99.9000,1125
99.9010,1125
99.9020,1125
99.9030,1125
99.9040,1125
99.9050,1125
99.9060,1125
99.9070,1125
99.9080,1125
99.9090,1125
99.9100,1125
99.9110,1125
99.9120,1125
99.9130,1125
99.9140,1125
99.9150,1125
99.9160,1125
99.9170,1166
99.9180,1166
99.9190,1166
99.9200,1166
99.9210,1166
99.9220,1166
99.9230,1166
99.9240,1166
99.9250,1166
99.9260,1166
99.9270,1167
99.9280,1167
99.9290,1167
99.9300,1167
99.9310,1167
99.9320,1167
99.9330,1167
99.9340,1167
99.9350,1167
99.9360,1167
99.9370,1167
99.9380,1167
99.9390,1167
99.9400,1167
99.9410,1167
99.9420,1167
99.9430,1167
99.9440,1167
99.9450,1167
99.9460,1167
99.9470,1208
99.9480,1208
99.9490,1208
99.9500,1208
99.9510,1208
99.9520,1208
99.9530,1208
99.9540,1208
99.9550,1208
99.9560,1208
99.9570,1208
99.9580,1208
99.9590,1208
99.9600,1208
99.9610,1209
99.9620,1209
99.9630,1209
99.9640,1209
99.9650,1209
99.9660,1250
99.9670,1250
99.9680,1250
99.9690,1250
99.9700,1250
99.9710,1250
99.9720,1250
99.9730,1250
99.9740,1250
99.9750,1250
99.9760,1333
99.9770,1333
99.9780,1333
99.9790,1375
99.9800,1416
99.9810,1458
99.9820,1500
99.9830,1500
99.9840,1542
99.9850,1542
99.9860,1625
99.9870,1625
99.9880,1708
99.9890,1791
99.9900,1792
99.9990,10631
100.0000,12919
