percentile,latency_ns
0.0000,125
1.0000,167
2.0000,167
3.0000,208
4.0000,208
5.0000,250
6.0000,250
7.0000,250
8.0000,250
9.0000,250
10.0000,250
11.0000,291
12.0000,291
13.0000,292
14.0000,292
15.0000,292
16.0000,333
17.0000,333
18.0000,333
19.0000,333
20.0000,333
21.0000,333
22.0000,334
23.0000,334
24.0000,375
25.0000,375
26.0000,375
27.0000,375
28.0000,375
29.0000,416
30.0000,416
31.0000,416
32.0000,416
33.0000,416
34.0000,416
35.0000,417
36.0000,417
37.0000,417
38.0000,417
39.0000,417
40.0000,417
41.0000,417
42.0000,417
43.0000,417
44.0000,417
45.0000,417
46.0000,417
47.0000,417
48.0000,458
49.0000,458
50.0000,458
51.0000,458
52.0000,458
53.0000,459
54.0000,459
55.0000,459
56.0000,500
57.0000,500
58.0000,500
59.0000,541
60.0000,541
61.0000,541
62.0000,542
63.0000,542
64.0000,542
65.0000,542
66.0000,542
67.0000,583
68.0000,583
69.0000,583
70.0000,583
71.0000,583
72.0000,583
73.0000,583
74.0000,583
75.0000,584
76.0000,584
77.0000,584
78.0000,584
79.0000,584
80.0000,625
81.0000,625
82.0000,625
83.0000,625
84.0000,625
85.0000,625
86.0000,625
87.0000,625
88.0000,625
89.0000,666
90.0000,667
90.0000,667
90.1000,667
90.2000,667
90.3000,667
90.4000,667
90.5000,667
90.6000,667
90.7000,667
90.8000,667
90.9000,667
91.0000,667
91.1000,667
91.2000,667
91.3000,667
91.4000,667
91.5000,667
91.6000,667
91.7000,667
91.8000,667
91.9000,667
92.0000,708
92.1000,708
92.2000,708
92.3000,708
92.4000,708
92.5000,708
92.6000,708
92.7000,708
92.8000,708
92.9000,708
93.0000,708
93.1000,708
93.2000,708
93.3000,708
93.4000,708
93.5000,708
93.6000,708
93.7000,708
93.8000,708
93.9000,708
94.0000,708
94.1000,708
94.2000,709
94.3000,709
94.4000,709
94.5000,709
94.6000,709
94.7000,709
94.8000,709
94.9000,709
95.0000,709
95.1000,709
95.2000,709
95.3000,750
95.4000,750
95.5000,750
95.6000,750
95.7000,750
95.8000,750
95.9000,750
96.0000,750
96.1000,750
96.2000,750
96.3000,750
96.4000,750
96.5000,750
96.6000,750
96.7000,750
96.8000,750
96.9000,750
97.0000,750
97.1000,750
97.2000,750
97.3000,750
97.4000,791
97.5000,791
97.6000,791
97.7000,792
97.8000,792
97.9000,792
98.0000,792
98.1000,792
98.2000,792
98.3000,792
98.4000,792
98.5000,833
98.6000,833
98.7000,833
98.8000,833
98.9000,834
99.0000,834
99.0000,834
99.0100,834
99.0200,834
99.0300,834
99.0400,834
99.0500,875
99.0600,875
99.0700,875
99.0800,875
99.0900,875
99.1000,875
99.1100,875
99.1200,875
99.1300,875
99.1400,875
99.1500,875
99.1600,875
99.1700,875
99.1800,875
99.1900,875
99.2000,875
99.2100,875
99.2200,875
99.2300,875
99.2400,875
99.2500,875
99.2600,875
99.2700,875
99.2800,875
99.2900,875
99.3000,875
99.3100,875
99.3200,875
99.3300,875
99.3400,875
99.3500,875
99.3600,875
99.3700,875
99.3800,875
99.3900,875
99.4000,875
99.4100,875
99.4200,875
99.4300,916
99.4400,916
99.4500,916
99.4600,916
99.4700,916
99.4800,916
99.4900,917
99.5000,917
99.5100,917
99.5200,917
99.5300,917
99.5400,917
99.5500,917
99.5600,917
99.5700,917
99.5800,917
99.5900,917
99.6000,958
99.6100,958
99.6200,958
99.6300,958
99.6400,958
99.6500,958
99.6600,958
99.6700,958
99.6800,958
99.6900,959
99.7000,959
99.7100,959
99.7200,959
99.7300,959
99.7400,1000
99.7500,1000
99.7600,1000
99.7700,1000
99.7800,1000
99.7900,1000
99.8000,1000
99.8100,1000
99.8200,1000
99.8300,1000
99.8400,1000
99.8500,1000
99.8600,1041
99.8700,1041
99.8800,1042
99.8900,1042
99.9000,1042
99.9000,1042
99.9010,1042
99.9020,1042
99.9030,1042
99.9040,1042
99.9050,1042
99.9060,1042
99.9070,1042
99.9080,1042
99.9090,1042
99.9100,1042
99.9110,1042
99.9120,1042
99.9130,1042
99.9140,1042
99.9150,1083
99.9160,1083
99.9170,1083
99.9180,1083
99.9190,1083
99.9200,1083
99.9210,1083
99.9220,1083
99.9230,1083
99.9240,1083
99.9250,1083
99.9260,1083
99.9270,1083
99.9280,1083
99.9290,1083
99.9300,1083
99.9310,1083
99.9320,1083
99.9330,1083
99.9340,1083
99.9350,1083
99.9360,1083
99.9370,1083
99.9380,1083
99.9390,1083
99.9400,1084
99.9410,1084
99.9420,1084
99.9430,1084
99.9440,1084
99.9450,1084
99.9460,1125
99.9470,1125
99.9480,1125
99.9490,1125
99.9500,1125
99.9510,1125
99.9520,1125
99.9530,1125
99.9540,1125
99.9550,1125
99.9560,1125
99.9570,1125
99.9580,1125
99.9590,1125
99.9600,1166
99.9610,1167
99.9620,1167
99.9630,1208
99.9640,1209
99.9650,1292
99.9660,1375
99.9670,1375
99.9680,1500
99.9690,1542
99.9700,1667
99.9710,1750
99.9720,2000
99.9730,2042
99.9740,2167
99.9750,2209
99.9760,2335
99.9770,2585
99.9780,4041
99.9790,4251
99.9800,4503
99.9810,4543
99.9820,4751
99.9830,4795
99.9840,5459
99.9850,5583
99.9860,5919
99.9870,6251
99.9880,6627
99.9890,7003
99.9900,7127
99.9990,11295
100.0000,44319
