percentile,latency_ns
0.0000,41
1.0000,42
2.0000,83
3.0000,83
4.0000,83
5.0000,83
6.0000,83
7.0000,83
8.0000,83
9.0000,84
10.0000,84
11.0000,84
12.0000,125
13.0000,125
14.0000,125
15.0000,167
16.0000,250
17.0000,250
18.0000,250
19.0000,250
20.0000,291
21.0000,291
22.0000,291
23.0000,291
24.0000,292
25.0000,292
26.0000,292
27.0000,292
28.0000,292
29.0000,292
30.0000,333
31.0000,333
32.0000,333
33.0000,333
34.0000,333
35.0000,333
36.0000,333
37.0000,333
38.0000,333
39.0000,333
40.0000,333
41.0000,333
42.0000,334
43.0000,334
44.0000,334
45.0000,334
46.0000,334
47.0000,375
48.0000,375
49.0000,375
50.0000,375
51.0000,375
52.0000,375
53.0000,375
54.0000,375
55.0000,375
56.0000,375
57.0000,375
58.0000,375
59.0000,375
60.0000,375
61.0000,375
62.0000,375
63.0000,375
64.0000,375
65.0000,375
66.0000,375
67.0000,375
68.0000,375
69.0000,375
70.0000,375
71.0000,375
72.0000,375
73.0000,375
74.0000,375
75.0000,416
76.0000,416
77.0000,416
78.0000,416
79.0000,417
80.0000,417
81.0000,417
82.0000,417
83.0000,417
84.0000,417
85.0000,417
86.0000,417
87.0000,417
88.0000,458
89.0000,458
90.0000,459
90.0000,459
90.1000,459
90.2000,459
90.3000,459
90.4000,459
90.5000,459
90.6000,459
90.7000,459
90.8000,459
90.9000,459
91.0000,459
91.1000,459
91.2000,500
91.3000,500
91.4000,500
91.5000,500
91.6000,500
91.7000,500
91.8000,500
91.9000,500
92.0000,500
92.1000,500
92.2000,500
92.3000,500
92.4000,500
92.5000,500
92.6000,500
92.7000,500
92.8000,541
92.9000,541
93.0000,541
93.1000,542
93.2000,542
93.3000,542
93.4000,542
93.5000,542
93.6000,542
93.7000,542
93.8000,583
93.9000,583
94.0000,583
94.1000,583
94.2000,583
94.3000,583
94.4000,583
94.5000,584
94.6000,584
94.7000,584
94.8000,584
94.9000,625
95.0000,625
95.1000,625
95.2000,625
95.3000,625
95.4000,625
95.5000,625
95.6000,625
95.7000,625
95.8000,625
95.9000,625
96.0000,625
96.1000,625
96.2000,625
96.3000,625
96.4000,625
96.5000,625
96.6000,666
96.7000,666
96.8000,666
96.9000,666
97.0000,666
97.1000,666
97.2000,666
97.3000,666
97.4000,667
97.5000,667
97.6000,667
97.7000,667
97.8000,667
97.9000,667
98.0000,667
98.1000,667
98.2000,667
98.3000,667
98.4000,667
98.5000,667
98.6000,667
98.7000,667
98.8000,667
98.9000,667
99.0000,708
99.0000,708
99.0100,708
99.0200,708
99.0300,708
99.0400,708
99.0500,708
99.0600,708
99.0700,708
99.0800,708
99.0900,708
99.1000,708
99.1100,708
99.1200,708
99.1300,708
99.1400,708
99.1500,708
99.1600,708
99.1700,708
99.1800,708
99.1900,708
99.2000,708
99.2100,708
99.2200,708
99.2300,708
99.2400,708
99.2500,708
99.2600,708
99.2700,708
99.2800,708
99.2900,708
99.3000,708
99.3100,708
99.3200,709
99.3300,709
99.3400,709
99.3500,709
99.3600,709
99.3700,709
99.3800,709
99.3900,709
99.4000,709
99.4100,709
99.4200,709
99.4300,709
99.4400,709
99.4500,709
99.4600,709
99.4700,709
99.4800,709
99.4900,709
99.5000,750
99.5100,750
99.5200,750
99.5300,750
99.5400,750
99.5500,750
99.5600,750
99.5700,750
99.5800,750
99.5900,750
99.6000,750
99.6100,750
99.6200,791
99.6300,791
99.6400,791
99.6500,791
99.6600,791
99.6700,791
99.6800,791
99.6900,792
99.7000,792
99.7100,792
99.7200,792
99.7300,792
99.7400,792
99.7500,792
99.7600,792
99.7700,792
99.7800,833
99.7900,833
99.8000,833
99.8100,833
99.8200,833
99.8300,833
99.8400,834
99.8500,834
99.8600,834
99.8700,875
99.8800,875
99.8900,875
99.9000,875
99.9000,875
99.9010,875
99.9020,875
99.9030,875
99.9040,875
99.9050,875
99.9060,875
99.9070,875
99.9080,875
99.9090,875
99.9100,875
99.9110,875
99.9120,875
99.9130,875
99.9140,875
99.9150,875
99.9160,875
99.9170,875
99.9180,875
99.9190,875
99.9200,875
99.9210,875
99.9220,875
99.9230,875
99.9240,875
99.9250,875
99.9260,875
99.9270,875
99.9280,875
99.9290,875
99.9300,875
99.9310,875
99.9320,875
99.9330,875
99.9340,875
99.9350,875
99.9360,875
99.9370,875
99.9380,875
99.9390,875
99.9400,916
99.9410,916
99.9420,916
99.9430,916
99.9440,916
99.9450,916
99.9460,916
99.9470,917
99.9480,917
99.9490,917
99.9500,917
99.9510,917
99.9520,917
99.9530,917
99.9540,917
99.9550,917
99.9560,917
99.9570,917
99.9580,917
99.9590,917
99.9600,917
99.9610,958
99.9620,958
99.9630,958
99.9640,958
99.9650,958
99.9660,958
99.9670,958
99.9680,958
99.9690,959
99.9700,959
99.9710,959
99.9720,1000
99.9730,1000
99.9740,1000
99.9750,1000
99.9760,1000
99.9770,1041
99.9780,1041
99.9790,1042
99.9800,1042
99.9810,1042
99.9820,1042
99.9830,1083
99.9840,1084
99.9850,1125
99.9860,1209
99.9870,1292
99.9880,1500
99.9890,1917
99.9900,2293
99.9990,9503
100.0000,12959
