percentile,latency_ns
0.0000,166
1.0000,208
2.0000,208
3.0000,208
4.0000,208
5.0000,208
6.0000,209
7.0000,209
8.0000,209
9.0000,250
10.0000,250
11.0000,250
12.0000,250
13.0000,250
14.0000,250
15.0000,250
16.0000,250
17.0000,250
18.0000,250
19.0000,250
20.0000,250
21.0000,250
22.0000,250
23.0000,250
24.0000,250
25.0000,250
26.0000,250
27.0000,250
28.0000,250
29.0000,250
30.0000,250
31.0000,250
32.0000,250
33.0000,250
34.0000,250
35.0000,291
36.0000,291
37.0000,291
38.0000,291
39.0000,291
40.0000,291
41.0000,291
42.0000,291
43.0000,291
44.0000,291
45.0000,291
46.0000,292
47.0000,292
48.0000,292
49.0000,292
50.0000,292
51.0000,292
52.0000,292
53.0000,292
54.0000,292
55.0000,292
56.0000,292
57.0000,292
58.0000,292
59.0000,292
60.0000,292
61.0000,292
62.0000,292
63.0000,292
64.0000,292
65.0000,292
66.0000,333
67.0000,333
68.0000,333
69.0000,333
70.0000,333
71.0000,333
72.0000,333
73.0000,333
74.0000,333
75.0000,333
76.0000,333
77.0000,333
78.0000,334
79.0000,334
80.0000,334
81.0000,334
82.0000,334
83.0000,334
84.0000,375
85.0000,375
86.0000,375
87.0000,375
88.0000,375
89.0000,375
90.0000,375
90.0000,375
90.1000,375
90.2000,375
90.3000,375
90.4000,375
90.5000,375
90.6000,375
90.7000,375
90.8000,375
90.9000,375
91.0000,375
91.1000,375
91.2000,375
91.3000,375
91.4000,375
91.5000,375
91.6000,375
91.7000,375
91.8000,375
91.9000,375
92.0000,375
92.1000,375
92.2000,375
92.3000,375
92.4000,375
92.5000,375
92.6000,375
92.7000,375
92.8000,375
92.9000,375
93.0000,375
93.1000,375
93.2000,375
93.3000,375
93.4000,416
93.5000,416
93.6000,416
93.7000,416
93.8000,416
93.9000,416
94.0000,416
94.1000,416
94.2000,416
94.3000,416
94.4000,416
94.5000,416
94.6000,416
94.7000,416
94.8000,417
94.9000,417
95.0000,417
95.1000,417
95.2000,417
95.3000,417
95.4000,417
95.5000,417
95.6000,417
95.7000,417
95.8000,417
95.9000,417
96.0000,417
96.1000,417
96.2000,417
96.3000,417
96.4000,417
96.5000,417
96.6000,417
96.7000,417
96.8000,417
96.9000,417
97.0000,417
97.1000,417
97.2000,417
97.3000,417
97.4000,417
97.5000,417
97.6000,417
97.7000,458
97.8000,458
97.9000,458
98.0000,458
98.1000,458
98.2000,458
98.3000,458
98.4000,458
98.5000,458
98.6000,458
98.7000,459
98.8000,459
98.9000,459
99.0000,459
99.0000,459
99.0100,459
99.0200,459
99.0300,459
99.0400,459
99.0500,459
99.0600,459
99.0700,459
99.0800,459
99.0900,459
99.1000,459
99.1100,459
99.1200,459
99.1300,500
99.1400,500
99.1500,500
99.1600,500
99.1700,500
99.1800,500
99.1900,500
99.2000,500
99.2100,500
99.2200,500
99.2300,500
99.2400,500
99.2500,500
99.2600,500
99.2700,500
99.2800,500
99.2900,500
99.3000,500
99.3100,500
99.3200,500
99.3300,500
99.3400,500
99.3500,500
99.3600,500
99.3700,500
99.3800,500
99.3900,500
99.4000,500
99.4100,500
99.4200,500
99.4300,500
99.4400,500
99.4500,500
99.4600,500
99.4700,500
99.4800,500
99.4900,500
99.5000,500
99.5100,541
99.5200,541
99.5300,541
99.5400,541
99.5500,541
99.5600,542
99.5700,542
99.5800,542
99.5900,542
99.6000,542
99.6100,542
99.6200,542
99.6300,542
99.6400,542
99.6500,583
99.6600,583
99.6700,583
99.6800,625
99.6900,667
99.7000,875
99.7100,958
99.7200,1000
99.7300,1000
99.7400,1041
99.7500,1042
99.7600,1083
99.7700,1083
99.7800,1084
99.7900,1125
99.8000,1125
99.8100,1125
99.8200,1167
99.8300,1167
99.8400,1208
99.8500,1208
99.8600,1209
99.8700,1250
99.8800,1291
99.8900,1292
99.9000,1333
99.9000,1333
99.9010,1333
99.9020,1333
99.9030,1334
99.9040,1334
99.9050,1334
99.9060,1334
99.9070,1334
99.9080,1334
99.9090,1334
99.9100,1334
99.9110,1334
99.9120,1334
99.9130,1375
99.9140,1375
99.9150,1375
99.9160,1375
99.9170,1375
99.9180,1375
99.9190,1375
99.9200,1375
99.9210,1375
99.9220,1375
99.9230,1375
99.9240,1375
99.9250,1375
99.9260,1416
99.9270,1416
99.9280,1416
99.9290,1416
99.9300,1416
99.9310,1416
99.9320,1417
99.9330,1417
99.9340,1417
99.9350,1417
99.9360,1417
99.9370,1417
99.9380,1417
99.9390,1417
99.9400,1417
99.9410,1458
99.9420,1458
99.9430,1458
99.9440,1458
99.9450,1459
99.9460,1459
99.9470,1500
99.9480,1500
99.9490,1500
99.9500,1500
99.9510,1500
99.9520,1500
99.9530,1500
99.9540,1500
99.9550,1500
99.9560,1541
99.9570,1541
99.9580,1542
99.9590,1542
99.9600,1542
99.9610,1542
99.9620,1542
99.9630,1542
99.9640,1583
99.9650,1583
99.9660,1583
99.9670,1583
99.9680,1584
99.9690,1584
99.9700,1584
99.9710,1625
99.9720,1625
99.9730,1625
99.9740,1625
99.9750,1625
99.9760,1666
99.9770,1667
99.9780,1708
99.9790,1708
99.9800,1750
99.9810,1750
99.9820,1750
99.9830,1875
99.9840,1916
99.9850,1917
99.9860,2000
99.9870,2042
99.9880,2209
99.9890,2209
99.9900,2251
99.9990,50719
100.0000,110207
